Nom,Origines,Pitch,Rang 1,Rang 2,Rang 3,,,,,,,,,,,,,,,,,,,,,,,,
Marquage,,Combat hybride Distance/Mêlée => Avantage (une fois),"Une cible touchée par une attaque à distance ou de jet reçoit un marqueur, les attaques de mêlée sur un adversaire avec marqueur sont avantagés et le marqueur est défaussé",Une même cible peux avoir plusieurs marqueurs à la fois,"Si la cible a plusieurs marqueurs le personnage choisir d'en défausser plusieurs pour obtenir de multiples avantages, aussi si la cible a un marqueur le personnage reçoit un bonus de +1 en plus du ou des avantages",,,,,,,,,,,,,,,,,,,,,,,,
Contrecoup,,Contre attaque plus puissante selon dégats absorbés,"Lorsqu'une parade est réussie la moitié des dégats au delà de Catégorie de l'Arme employée x 5 sont ajoutés à une potencielle contre attaque si un désavantage est pris intentionnellement, ce bonus est limité à 1/4 des dégats de la contre attaque","Le calcule se base sur Catégorie x 4, au mieux le bonus peux être de 1/3","Le calcule se base sur Catégorie x 3, au mieux le bonus peux être de 1/2",,,,,,,,,,,,,,,,,,,,,,,,
Vigueur,,Récupération d'endurance par tour,"Au début du tour le personnage récupère jusqu'à 1/5 de son endurance manquante, reçoit en contre partie 1 PF tous les 3 points récupérés ainsi",Au début du tour le personnage récupère 1/4 de son endurance manquante,Au début du tour le personnage récupère 1/3 de son endurance manquante,,,,,,,,,,,,,,,,,,,,,,,,
Débordement,,"J'ai rien compris, tout simplement...","Chaque attaque de mêlée (non restreinte) qui porte avec une arme lourde réduit l'endurance actuelle dépassant les 3/4 de l'endurance maximale de 1/3, maximum équivalant du quart des dégats de l'attaque","La perte est de 1/2, maximum 1/3","L'endurance perdue se base sur ce qui dépasse de la moitié du maximum de l'endurance, maximum 1/2",,,,,,,,,,,,,,,,,,,,,,,,
Résilience,,Défense ratée => Avantage jusqu'à réussite,"Lorsque le personnage rate une action de défense armée il reçoit un marqueur, tant qu'il a un marqueur sa défense armée est avantagée et il perd un marqueur","Tant qu'il ne réussie pas une défense armée le personnage garde ses marqueurs, qui s'accumulent donc jusqu'à réussite","Si la cible a plusieurs marqueurs le personnage reçoit, en plus de son avantage, un bonus équivalant aux marqueurs au delà du 1er, en cas de réussite d'une défense il ne perd qu'un seul marqueur",,,,,,,,,,,,,,,,,,,,,,,,
Égide,,Bouclier => Un blocage gratuit,"Une fois par tour le personnage peux réaliser une action de blocage gratuitement, elle ne compte pas dans sa limite d'action rapide par tour, le blocage en question est restreint et désavantagé",L'action en question n'est plus désavantagé,L'action en question n'est plus restreinte,,,,,,,,,,,,,,,,,,,,,,,,
Tortue,,Deux boucliers => Blocage combinés,Le bouclier en main directrice n'entraine pas de pénalités notables dû au fait que c'est une mauvaise main pour ce type d'armes,Lorsqu'il porte un bouclier en main directrice et non directrice le personnage est en mesure d'utiliser deux actions de défenses en même temps sur une même attaque avec chaque boucliers,Lorsqu'il porte un bouclier en main directrice et non directrice le personnage reçoit un avantage à ses tests de blocage,,,,,,,,,,,,,,,,,,,,,,,,
Ricochet,,Bouclier comme arme de jet,"Une fois par tour le personnage peux utiliser son bouclier comme s'il s'agissait d'une arme de jet, le bouclier reviens dans sa main qu'il touche ou non sa cible, l'attaque est resteinte et désavantagée",L'action en question n'est plus désavantagé,L'action en question n'est plus restreinte,,,,,,,,,,,,,,,,,,,,,,,,
Guetteur,,Actions d'opportunités boostées,Les actions d'opportunité cout 1 d'initiative en moins,Les actions d'opportunité reçoivent un bonus de 1,"Réussire une action tactique sur un adversaire constitue une opportunité, le bonus aux opportunités passe à 2",,,,,,,,,,,,,,,,,,,,,,,,
Leurre,,Petite attaque => Meilleure contre attaque à venir,"Les attaques de main directrice peuvent s'infliger une pénalité de catégorie de 1, la cible est alors marquée, la prochaine contre attaque sur la cible marquée se fera avec une catégorie effective augmentée de 2",La pénalité peux être de 2 et le bénéfice de 4,La pénalité peux être de 3 et le bénéfice de 6,,,,,,,,,,,,,,,,,,,,,,,,
Dérobade,,Petite attaque => Meilleure riposte à venir,"Les attaques de main directrice peuvent s'infliger une pénalité de catégorie de 1, la cible est alors marquée, le prochain blocage contre la cible marquée se fera avec une catégorie effective augmentée de 2",La pénalité peux être de 2 et le bénéfice de 4,La pénalité peux être de 3 et le bénéfice de 6,,,,,,,,,,,,,,,,,,,,,,,,
Légèreté,,Bouclier léger => Blocage = défense +,Après un blocage réussie réalisé à l'aide d'un bouclier léger la défense passive physique augmente de 1 jusqu'au prochain round du personnage (non cumulable),Le bonus passe à 2,"Le bonus passe à 3, en cas d'échec du blocage la défense passive augmente quand même de 1, chaque nouveau blocage (réussie ou non) au delà du premier augmente de 1 ce bonus jusqu'à un maximum de 4 ce qui relance la durée",,,,,,,,,,,,,,,,,,,,,,,,
Impact,,Bouclier intermédiaire => Blocage = impact +,"Après un blocage réalisé à l'aide d'un bouclier intermédiaire les jets d'impact (actions tactiques) physique augmente de 1 jusqu'au prochain round du personnage (non cumulable), chaque nouveau blocage au delà du premier augmente de 1 ce bonus jusqu'à un maximum de 3 ce qui relance la durée",Le maximum passe à 5,Le bonus passe à 2 par blocage et le maximum à 7,,,,,,,,,,,,,,,,,,,,,,,,
Rempart,,Bouclier lourd => Blocage = résistance +,"Après un blocage réalisé à l'aide d'un bouclier lourd la résistance physique augmente de 1 jusqu'au prochain round du personnage (non cumulable), chaque nouveau blocage (réussie ou non) au delà du premier augmente de 1 ce bonus jusqu'à un maximum de 3 ce qui relance la durée",Le maximum passe à 5,Le bonus passe à 2 par blocage et le maximum à 7,,,,,,,,,,,,,,,,,,,,,,,,
Fantôme,,Armure légère => Esquive (passive) = Opportunités,En armure légère les attaques qui échouent à passer la défense passif du personnage génère des opportunités (désavantagée),Les opportunités générées ne sont plus désavantagées,Une des opportunités générées via ce style peux être réalisées sans dépenser d'action rapide pour ça,,,,,,,,,,,,,,,,,,,,,,,,
Vivacité,,Arme légère => Attaque répétée = Criticité +,"Avec une arme légère les attaque normale (non restreinte) réussie sur la même cible marque celle ci, ces marqueurs s'accumulent, à tous moment le personnage dispose d'un bonus de +1 en criticité par marqueurs pour ses attaques, maximum +2, lorsqu'un critique surviens les marqueurs sont supprimés","Le maximum passe à +4, un critique réduit les marqueurs de 2 au lieu de tous les supprimer","Le maximum passe à +5, jusqu'à une attaque restreinte par tour peux générer des marques, les attaques normales génère 2 marques en touchant la cible ou 1 marque en cas d'échec",,,,,,,,,,,,,,,,,,,,,,,,
Persévérance,,Blocage (rapide) échoués moins pénalisants,"Un blocage effectué en action rapide qui échoue redonne 1 point d'initiative, il ne peux être récupéré plus que les points utilisés pour l'action de cette manière, le personnage reçoit un marqueur et chaque marqueur octroie +1 au blocage (maximum 2), les marqueurs sont supprimés sur un blocage réussie","Le regain est de 2 points d'initiative, le personnage peux stocker jusqu'à 4 marqueurs","Le regain est de 3 points d'initiative, le personnage gagne 2 marqueurs pas blocage ratés",,,,,,,,,,,,,,,,,,,,,,,,
Transcendance,,A Corriger,"Chaque tours le personnage gagne des PV temporaires à hauteur du tiers de ce qui lui manque (les PV temporaires ne se cumulent pas), changer ou perdre le style met un terme à ces PV temporaires",Chaque fois que le personnage perd des PV il reçoit le tiers en soin de PE temporaires,Le regain passe à la moitié des PV perdus et le gain de PE temporaires est basé sur la moitié des PVs perdus,,,,,,,,,,,,,,,,,,,,,,,,
Omniscience,,Débloque toutes les manoeuvres,En augmente les pénalités de 2 le personnage peux réaliser une manoeuvre sans la connaitre et sans désavantages,Lorsqu'il fait appel à des manoeuvres qu'il connait le personnage reçoit un bonus de 1 aux tests,"Le personnage peux faire appel à toutes les manoeuvres, il n'a cependant le bonus précédant que si il connait la manoeuvre",,,,,,,,,,,,,,,,,,,,,,,,
Contamination,,Conditions splash,Lorsque vous infligez une condition de rupture jusqu'à un adversaire à proximité de la cible subit également cette condition avec la moitié du jet (la cible a le droit à un test de sauvegarde),Jusqu'à deux cibles peuvent être affectées OU le jet est réduit de 1/3 seulement,Jusqu'à trois cibles peuvent être affectées OU le jet n'est pas réduit,,,,,,,,,,,,,,,,,,,,,,,,
Vitalité,,Charge => PV temporaires,"Lorsque le personnage charge il reçoit 2 PV temporaires, doublé si il arrive à proximité d'un adversaire",Il reçoit 3 PV à la place,Il reçoit 4 PV à la place,,,,,,,,,,,,,,,,,,,,,,,,
Porte-Voix,,Cri de guerre => PE temporaires,"Lorsque le personnage réalise une action de cri accorde aux alliés alentours un gain de 2 PE temporaires, doublé si l'allié est à proximité",Le gain monte à 3,Le gain monte à 4,,,,,,,,,,,,,,,,,,,,,,,,
Rugissement,,Cri de guerre => Attrition,"Lorsque le personnage réalise une action de cri inflige aux adversaires alentours une perte de 2 PE, doublé si la cible est à proximité",La perte monte à 3,La perte monte à 4,,,,,,,,,,,,,,,,,,,,,,,,
Rupture,,Attaque => Fait perdre condition positive ou posture,"Lorsque le personnage réalise une attaque ou une tactique affichant 2 DR (10+) sur un adversaire il peux essayer de lui faire perdre sa posture en cours s'il en avait une, sinon il peux provoquer une décharge sur une condition positive de ce dernier à place, dans les deux cas la cible peux réaliser un test de sauvegarde de réflexes (la perte de la posture est annulée sur une réussite, la décharge est modulée par la réussite/échec du test)",La décharge est doublée OU l'effet peux survenir sur une action dont le DR est de 1 à la place (5+),La décharge est triplée OU l'effet surviens sur n'importe quelle action appropriée réussite,,,,,,,,,,,,,,,,,,,,,,,,
Exotisme,,TODO conditions,"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une arme exotique, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une arme de type fouet, ce dernier subit la condition ""saignement"" avec 25% du jet en charges"
Lacération,,TODO conditions,"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une arme flexible, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Saignement,,saignement,"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une épée, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Affaiblissement,,faiblesse (d8 de dégats infligés en moins),"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une mace, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Entrave,,handicape (mvt réduit),"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une lance, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Déchirure,,vulné (d8 de dégats subit en plus),"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une hache, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Toxine,,TODO conditions,"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une dague, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Fièvre,,TODO conditions,"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'un arc, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Concussion,,TODO conditions,"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'un arbalète, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Traumatisme,,TODO conditions,"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une arme de poing, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Déluge,,TODO conditions,"Lorsque le personnage réalise une attaque sur un adversaire à l'aide d'une arme d'épaule, ce dernier subit la condition ""saignement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Ambidextrie,,Combat à deux armes => Main non directrice plus difficile à défendre,"Lorsque le personnage réalise une attaque de sa main non directrice après avoir réalisé une attaque de son arme directrice les défenses actives opposées à cette première sont désavantagées, et vice versa, dans tous les cas ces attaques doivent avoir lieu dans le même round et ne peuvent pas être des attaques d'opportunités","Il est impossible de se défendre activement de la main non directrice si la première n'a pas touché, les défenses sont désavantagées si une première attaque de la main non directrice n'a pas touché","Il est impossible de se défendre activement de la main non directrice si elle fait suite à une attaque de la main directrive, les défenses sont désavantagées si une première attaque de la main non directrice a eu lieu (quelque soit son résultat), de plus cet effet peux s'appliquer à des attaques d'opportunités survenant lors du même round",,,,,,,,,,,,,,,,,,,,,,,,
Fragilisation,,Profiter de l'armure dégradée => Bonus attaque/tact,Les attaques et tactiques du personnages reçoivent un bonus de 1 si l'armure de la cible est dégradrée d'au moins un niveau,Le bonus passe à 2 si l'armure est dégradée d'au moins 2 niveaux,Le bonus passe à 3 si l'armure est dégradée d'au moins 3 niveaux,,,,,,,,,,,,,,,,,,,,,,,,
Adaptation,,Profiter de l'arme dégradée => bonus défense,Les défenses du personnages reçoivent un bonus de 1 si l'arme de la cible est dégradrée d'au moins un niveau,Le bonus passe à 2 si l'arme est dégradée d'au moins 2 niveaux,Le bonus passe à 3 si l'arme est dégradée d'au moins 3 niveaux,,,,,,,,,,,,,,,,,,,,,,,,
Démolisseur,,Dégradation infligée augmentée,Lorsque le personnage dégrade un équipement il augmente la dégradation de 2,Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Trempe,,Dégradation subit réduite,Lorsque le personnage voit son équipement subir de la dégradation il réduit celle ci de 2,Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Corrosion,,Dégradation => Attrition,Lorsque le personnage provoque une augmentation du niveau de dégradation d'un objet son porteur subit une perte de 2 PE immédiats,La perte monte à 3,La perte monte à 4,,,,,,,,,,,,,,,,,,,,,,,,
Fougue,,Délais de la fatigue,"Lorsque le personnage acquière de la fatigue durant une confrontation, il est en mesure de retenir 1 point de cet augmentation afin de ne l'appliquer qu'à la fin de la confrontation, évitant ainsi les possibles pénalités que devrait engendrer la fatigue en question, il peux mettre de coté jusqu'à 4 points de fatigue de la sorte",Le personnage peux délayer 2 points de fatigue de la sorte,Il n'y a pas de maximum au points de fatigue qui peuvent être délayer,,,,,,,,,,,,,,,,,,,,,,,,
Surplomb,,Cible en contre bas => Bonus,Contre un adversaire qui est situation en contre bas (les pieds de l'attaquant sont situés au dessus de la tête de sa cible) le personnage reçoit un bonus de 1 à ses tests de combat,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Adrénaline,,Fatigue => PE temporaires,Lorsque le personnage reçoit de la fatigue il reçoit également des PE temporaires équivalants,Le regain de PE temporaires est doublé,Le regain de PE temporaires est triplé,,,,,,,,,,,,,,,,,,,,,,,,
Polyvalence,,Technique via n'importe quelles armes,Le personnage peux réaliser des manoeuvres avec n'importe quelles armes en s'imposant un malus de 4,Le malus passe à 2,Pas de malus,,,,,,,,,,,,,,,,,,,,,,,,
Refuge,,Bouclier => meilleure couverture,Le personnage profite d'un angle de protection de 240° (au lieu de 180) via son bouclier,L'angle passe à 300°,"L'angle passe à 360°, il n'y a plus d'angle mort",,,,,,,,,,,,,,,,,,,,,,,,
Forteresse,,Bouclier => défense à distance,Le personnage reçoit un bonus de défense passive et active de 1 contre les attaques à distance,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Bastion,,Bouclier => défense minimum,"Le personnage reçoit un bonus de défense minimum de 1, mais l'angle de protection de son bouclier est divisé par 2 (90°), il ne protège donc plus que devant soi",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Marteau-Bouclier,,Bouclier => défense critique peux stun,"Lorsque le personnage réalise une défense critique via son bouclier, ce dernier subit la condition ""étourdissement"" avec 25% du jet en charges",Les charges sont basées sur 50% du jet,La cible est désavantagée sur son test de sauvegarde associé à la condition (via cet effet),,,,,,,,,,,,,,,,,,,,,,,,
Avant-Poste,,Bouclier => Bonus de garde,"Lorsque le personnage porte un bouclier il génère 2 points de garde supplémentaires par actions ""Monter sa garde"" et son maximum de points de garde augmente de 5",Le bonus de garde augmente de 1 et le maximum de 2,Le bonus de garde augmente de 1 et le maximum de 3,,,,,,,,,,,,,,,,,,,,,,,,
Conversion,,Bouclier => Défense = Garde,"Lorsque le personnage réalise une défense via son bouclier il peux recevoir 2 points de garde, si la défense est critique il peux recevoir jusqu'à 1 points de garde en plus","Le gain est augmenté de 1, le gain critique également","Le gain est augmenté de 1, le gain critique également",,,,,,,,,,,,,,,,,,,,,,,,
Déflexion,,Bouclier => anti critique,"Lorsque le personnage porte un bouclier les adversaires ont une criticité réduite de 1 contre lui, de plus les jets critiques reçus sont réduits de 2, ces bonus sont doublés lorsqu'une action de défense sont réalisées via ce bouclier",Les bonus sont doublés,Les bonus sont triplés,,,,,,,,,,,,,,,,,,,,,,,,
Désarmement,,Arme Légère => défense critique peux désarmer,"Lorsque le personnage réalise une défense critique via une arme légère, ce dernier est désarmé, l'arme tombe au pieds de ce dernier",L'arme tombe à 1D6 mètres dans une direction aléatoire,,,,,,,,,,,,,,,,,,,,,,,,,
